(myenv) root@I238814728d00a016b3:~/lingchen/Universal-Adversarial-Prompt-Attacks-on-VLMs# python src/test.py 
Loading checkpoint shards: 100%|██████████████████████████████████████████████| 5/5 [00:08<00:00,  1.74s/it]
The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. Note that this behavior will be extended to all models in a future release.
Step 1/500, Loss=1.164062
Step 2/500, Loss=1.218750
Step 3/500, Loss=1.117188
Step 4/500, Loss=1.062500
Step 5/500, Loss=1.023438
Step 6/500, Loss=1.007812
Step 7/500, Loss=0.992188
Step 8/500, Loss=0.972656
Step 9/500, Loss=0.957031
Step 10/500, Loss=0.941406
Step 11/500, Loss=0.933594
Step 12/500, Loss=0.925781
Step 13/500, Loss=0.917969
Step 14/500, Loss=0.917969
Step 15/500, Loss=0.921875
Step 16/500, Loss=0.914062
Step 17/500, Loss=0.910156
Step 18/500, Loss=0.902344
Step 19/500, Loss=0.898438
Step 20/500, Loss=0.894531
output_text=['The image is completely black with no discernible features, objects, or patterns. It appears to be a solid black square.']
Step 21/500, Loss=0.890625
Step 22/500, Loss=0.882812
Step 23/500, Loss=0.882812
Step 24/500, Loss=0.886719
Step 25/500, Loss=0.886719
Step 26/500, Loss=0.875000
Step 27/500, Loss=0.875000
Step 28/500, Loss=0.871094
Step 29/500, Loss=0.871094
Step 30/500, Loss=0.863281
Step 31/500, Loss=0.863281
Step 32/500, Loss=0.859375
Step 33/500, Loss=0.855469
Step 34/500, Loss=0.859375
Step 35/500, Loss=0.863281
Step 36/500, Loss=0.859375
Step 37/500, Loss=0.863281
Step 38/500, Loss=0.871094
Step 39/500, Loss=0.871094
Step 40/500, Loss=0.863281
output_text=['The image is completely black with no discernible features, objects, or patterns. It appears to be a solid black square.']
Step 41/500, Loss=0.855469
Step 42/500, Loss=0.847656
Step 43/500, Loss=0.847656
Step 44/500, Loss=0.843750
Step 45/500, Loss=0.835938
Step 46/500, Loss=0.832031
Step 47/500, Loss=0.828125
Step 48/500, Loss=0.828125
Step 49/500, Loss=0.824219
Step 50/500, Loss=0.820312
Step 51/500, Loss=0.816406
Step 52/500, Loss=0.812500
Step 53/500, Loss=0.808594
Step 54/500, Loss=0.804688
Step 55/500, Loss=0.800781
Step 56/500, Loss=0.804688
Step 57/500, Loss=0.828125
Step 58/500, Loss=0.824219
Step 59/500, Loss=0.835938
Step 60/500, Loss=0.832031
output_text=['The image is completely black with no discernible features, objects, or patterns. It appears to be a solid black square.']
Step 61/500, Loss=0.820312
Step 62/500, Loss=0.816406
Step 63/500, Loss=0.816406
Step 64/500, Loss=0.816406
Step 65/500, Loss=0.812500
Step 66/500, Loss=0.808594
Step 67/500, Loss=0.808594
Step 68/500, Loss=0.804688
Step 69/500, Loss=0.800781
Step 70/500, Loss=0.800781
Step 71/500, Loss=0.796875
Step 72/500, Loss=0.792969
Step 73/500, Loss=0.792969
Step 74/500, Loss=0.789062
Step 75/500, Loss=0.789062
Step 76/500, Loss=0.785156
Step 77/500, Loss=0.785156
Step 78/500, Loss=0.785156
Step 79/500, Loss=0.781250
Step 80/500, Loss=0.777344
output_text=['The image is entirely black with no discernible features, objects, or patterns. It appears to be a completely uniform black square.']
Step 81/500, Loss=0.777344
Step 82/500, Loss=0.777344
Step 83/500, Loss=0.777344
Step 84/500, Loss=0.773438
Step 85/500, Loss=0.773438
Step 86/500, Loss=0.773438
Step 87/500, Loss=0.773438
Step 88/500, Loss=0.769531
Step 89/500, Loss=0.773438
Step 90/500, Loss=0.789062
Step 91/500, Loss=0.781250
Step 92/500, Loss=0.777344
Step 93/500, Loss=0.773438
Step 94/500, Loss=0.769531
Step 95/500, Loss=0.765625
Step 96/500, Loss=0.765625
Step 97/500, Loss=0.757812
Step 98/500, Loss=0.757812
Step 99/500, Loss=0.750000
Step 100/500, Loss=0.750000
output_text=['The image is entirely black with no discernible features, objects, or patterns. It appears to be a completely uniform black square.']
Step 101/500, Loss=0.750000
Step 102/500, Loss=0.753906
Step 103/500, Loss=0.761719
Step 104/500, Loss=0.757812
Step 105/500, Loss=0.757812
Step 106/500, Loss=0.753906
Step 107/500, Loss=0.753906
Step 108/500, Loss=0.750000
Step 109/500, Loss=0.750000
Step 110/500, Loss=0.750000
Step 111/500, Loss=0.746094
